,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1062,0.5589999999999999,0.0597,102.009,0.0446,0.139,0.0,4,0.8340000000000001,0,225158,-12.674000000000001,0.9690000000000001,1,audio_features,17,spotify:track:1968MtlQuNVFn0oNRjK9wn,Zabranjeno Pusenje,Ceca,bulgarian pop,1996,0
1063,0.748,0.0737,88.065,0.0432,0.0884,0.0,4,0.6459999999999999,11,257637,-9.243,0.595,1,audio_features,31,spotify:track:2dxqHNO9PdnaDhaLcMbQuk,Mrtvo More,Ceca,bulgarian pop,1996,0
1064,0.836,0.10099999999999999,110.061,0.0506,0.18,0.00043,4,0.753,0,172640,-8.41,0.9640000000000001,1,audio_features,32,spotify:track:4pHIv405KyKMsjmfhEqpK5,"Neodoljiv, Neumoljiv",Ceca,bulgarian pop,1996,0
1065,0.409,0.19699999999999998,157.606,0.0481,0.308,0.0,3,0.373,6,317887,-12.616,0.32,0,audio_features,28,spotify:track:2KgBisGtZIt7kW9LrqglfD,Licis Na Mog Oca,Ceca,bulgarian pop,1996,0
1066,0.535,0.0919,110.15,0.0341,0.609,0.0,4,0.774,6,193329,-12.584000000000001,0.861,1,audio_features,31,spotify:track:3czcyc5dDVzFMlhmESflXd,Doktor,Ceca,bulgarian pop,1996,0
1067,0.7509999999999999,0.0861,119.139,0.0339,0.00449,5.82e-06,4,0.652,2,236594,-9.484,0.871,0,audio_features,18,spotify:track:799YCmlO9AYbs6f1JiXGsv,Usnule Lepotice,Ceca,bulgarian pop,1996,0
1068,0.816,0.34600000000000003,112.066,0.0369,0.0573,1.4599999999999999e-05,4,0.652,8,202977,-8.476,0.415,1,audio_features,20,spotify:track:0Ag52hY6AhP6ji3qII7emn,Isuse,Ceca,bulgarian pop,1996,0
1069,0.57,0.105,93.015,0.24600000000000002,0.0977,0.0,4,0.8059999999999999,1,231453,-6.9270000000000005,0.45399999999999996,1,audio_features,63,spotify:track:7p2ewixAShLpjDZrnzZK7c,Get Up 10,Cardi B,pop,2018,0
1070,0.589,0.0731,129.993,0.255,0.0511,0.0,4,0.968,11,262308,-7.808,0.268,1,audio_features,67,spotify:track:2qcG0nZ6S3zZV0UrkY5nFo,Drip (feat. Migos),Cardi B & Migos,pop,2018,0
1071,0.8140000000000001,0.158,155.938,0.303,0.154,1.67e-06,4,0.884,7,181624,-5.332999999999999,0.907,1,audio_features,62,spotify:track:17Yq72h0p15OhCbZ5lJ5gd,Bickenhead,Cardi B,pop,2018,0
1072,0.703,0.231,125.022,0.10300000000000001,0.0659,0.0,4,0.9259999999999999,11,223713,-6.337000000000001,0.485,0,audio_features,77,spotify:track:6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Cardi B,pop,2018,0
